Identifiant unique ,Données renseignées de l'AMAP ,,,,,"Commune, code commune INSEE",,Bassin de vie,,Zone d'emploi,,Coordonnées,,Autre,
id,amap,adresse,rue,code_postal,commune_renseignee,commune_corrigee,CODGEO,BV2022,LIBBV2022,ZE2020,LIBZE2020,latitude,longitude,doublon (1 si oui),Rq
id_1093,Les 3 Sol.,"Mairie
49750
St Lambert Du Lattay",Mairie,CP_49750,St Lambert Du Lattay,Val-du-Layon,CI_49292,BV_49092,Chemillé-en-Anjou,ZE_5202,Angers,"47,30166215","-0,6340306215",,
id_1094,"
Les Cageots Poyaudins","Mairie De Saint Sauveur
89520
Saint Sauveur En Puisaye",Mairie De Saint Sauveur,CP_89520,Saint Sauveur En Puisaye,Saint-Sauveur-en-Puisaye,CI_89368,BV_89368,Saint-Sauveur-en-Puisaye,ZE_0056,Cosne-Cours-sur-Loire,47.6181326,3.1975937,,
id_1095,Les Cagettes De La Boivre,"Cap Sud 28 Rue De La Jeunesse
86000
Poitiers",Cap Sud 28 Rue De La Jeunesse,CP_86000,Poitiers,Poitiers,CI_86194,BV_86194,Poitiers,ZE_7524,Poitiers,46.5663237,0.3130004,,
id_1096,Les Cagettes De Reichstett,"Ecole Avenue Hay 67116 Reichstett
67116
Reichstett",Ecole Avenue Hay 67116 Reichstett,CP_67116,Reichstett,Reichstett,CI_67389,BV_67482,Strasbourg,ZE_4423,Strasbourg,"48,6466515","7,7506162",,
id_1097,Les Cagettes Du Vidourle,"Parking De La Cluz Avenue Emile Léonard
30250
Aubais",Parking De La Cluz Avenue Emile Léonard,CP_30250,Aubais,Aubais,CI_30019,BV_30062,Calvisson,ZE_7618,Nîmes,43.7534625,4.1463153,,
id_1098,Les Choucas Gourmands,"3 Bis Chemin Des Bruyères
88290
Thiefosse",3 Bis Chemin Des Bruyères,CP_88290,Thiefosse,Thiéfosse,CI_88467,BV_88486,Vagney,ZE_4414,Remiremont,"47,9749201","6,726525",,
id_1099,Les Croqueurs De Légumes,"Garage De La Librairie Thuard Rue Des Ursulines
72000
Le Mans",Garage De La Librairie Thuard Rue Des Ursulines,CP_72000,Le Mans,Le Mans,CI_72181,BV_72181,Le Mans,ZE_5212,Le Mans,48.0051592,0.2012294,,
id_1100,Les Eco-Gloutons,"Le Maillorat
87370
Saint Sulpice Lauriere",Le Maillorat,CP_87370,Saint Sulpice Lauriere,Saint-Sulpice-Lauriere,CI_87181,BV_87002,Ambazac,ZE_7517,Limoges,46.048709,1.4794713,,
id_1101,Les Fermes Amap'Orte,"95 Rue De Soulanger
49700
Doué-La-Fontaine",95 Rue De Soulanger,CP_49700,Doué-La-Fontaine,Doué-en-Anjou,CI_49125,BV_49125,Doué-en-Anjou,ZE_5220,Saumur,"47,1929816","-0,3131465",,
id_1102,"
Les Fondus Du Panier","Place De L'Usine À Gaz
49250
Beaufort-En-Vallée",Place De L'Usine À Gaz,CP_49250,Beaufort-En-Vallée,Beaufort-en-Anjou,CI_49021,BV_49021,Beaufort-en-Anjou,ZE_5202,Angers,47.431256,-0.2124557,,
id_1103,"
Les Jardins De Breitenheim","11 Breitenheim
67600
Mussig",11 Breitenheim,CP_67600,Mussig,Mussig,CI_67310,BV_67462,Sélestat,ZE_4422,Sélestat,"48,2441742","7,5161149",,
id_1104,"
Les Jardins De Theia","Abri De L'Ecole Elementaire
39570
Montmorot",Abri De L'Ecole Elementaire,CP_39570,Montmorot,Montmorot,CI_39362,BV_39300,Lons-le-Saunier,ZE_2713,Lons-le-Saunier,46.6769747,5.5302024,,
id_1105,Les Jardins De Virgile Amap Bio,"Centre Social Des Bourroches 71 Bis Rue De La Corvée
21000
Dijon",Centre Social Des Bourroches 71 Bis Rue De La Corvée,CP_21000,Dijon,Dijon,CI_21231,BV_21231,Dijon,ZE_2711,Dijon,47.3129697,5.0183246,,
id_1106,"
Les Jardins Sauvages","La Bécarie St Martin De Jussac Et St Junien
87200
Saint Martin De Jussac Et St Junien",La Bécarie St Martin De Jussac Et St Junien,CP_87200,Saint Martin De Jussac Et St Junien,Saint-Martin-de-Jussac,CI_87164,BV_87154,Saint-Junien,ZE_7527,Saint-Junien,45.8766246,0.940877,,
id_1107,Les Locavores D'Aunis,"Salle Des Associations De La Mairie De Courçon
17170
Courçon D 'Aunis",Salle Des Associations De La Mairie De Courçon,CP_17170,Courçon D 'Aunis,Courçon,CI_17127,BV_17434,Surgères,ZE_7512,La Rochelle,46.2479125,-0.806352,,
id_1108,"
Les Lulugumes Bio","Chez Edouard Geoffroy 24Rue Entre 2 Villes
21260
Veronnes",Chez Edouard Geoffroy 24Rue Entre 2 Villes,CP_21260,Veronnes,Véronnes,CI_21667,BV_21317,Is-sur-Tille,ZE_2711,Dijon,47.5340091,5.2304297,,
id_1109,"
Les Mangeurs De Nature","14170
Saint-Pierre -sur-Dives",,CP_14170,Saint-Pierre -sur-Dives,Saint-Pierre-en-Auge,CI_14654,BV_14654,Saint-Pierre-en-Auge,ZE_2804,Caen,"49,0192284","-0,0333457",,
id_1110,"
Les Noisettes Croquantes","Faculté De Médecine, 6 Rue De La Milétrie
86000
Poitiers","Faculté De Médecine, 6 Rue De La Milétrie",CP_86000,Poitiers,Poitiers,CI_86194,BV_86194,Poitiers,ZE_7524,Poitiers,46.5606318,0.3789249,,
id_1111,"
Les Paniers Bio Du Gâtinais","15 Rue de la République
89690
Chéroy",15 Rue de la République,CP_89690,Chéroy,Chéroy,CI_89100,BV_89387,Sens,ZE_2717,Sens,"48,20183595","2,999580331",,
id_1112,"
Les Paniers Champanellois","Ancienne École De Fontfreyde
63122
Saint-Genès-Champanelle",Ancienne École De Fontfreyde,CP_63122,Saint-Genès-Champanelle,Saint-Genès-Champanelle,CI_63345,BV_63113,Clermont-Ferrand,ZE_8408,Clermont-Ferrand,45.7193702,3.0202426,,
id_1113,"
Les Paniers D'Aligre","Mairie 72 Grande Rue
28240
Champrond En Gatine",Mairie 72 Grande Rue,CP_28240,Champrond En Gatine,Champrond-en-Gâtine,CI_28071,BV_28214,La Loupe,ZE_0061,Nogent-le-Rotrou,48.4012484,1.0722132,,
id_1114,"
Les Paniers De Beauchêne","Salle Des Chantalistes 26 Avenue Eiffel
21000
Dijon",Salle Des Chantalistes 26 Avenue Eiffel,CP_21000,Dijon,Dijon,CI_21231,BV_21231,Dijon,ZE_2711,Dijon,47.3149733,5.022005,,
id_1115,"
Les Paniers De La Besbre","Maison Des Associations
03290
Dompierre Sur Besbre",Maison Des Associations,CP_03290,Dompierre Sur Besbre,Dompierre-sur-Besbre,CI_03102,BV_03102,Dompierre-sur-Besbre,ZE_8424,Moulins,46.5216278,3.6812752,,
id_1116,"
Les Paniers De La Chouette","14 Rue Nodot
21000
Dijon",14 Rue Nodot,CP_21000,Dijon,Dijon,CI_21231,BV_21231,Dijon,ZE_2711,Dijon,"47,3214849","5,0252873",,
id_1117,"
Les Paniers De La Cigogne","Quartier De L'Avant Garde
17300
Rochefort",Quartier De L'Avant Garde,CP_17300,Rochefort,Rochefort,CI_17299,BV_17299,Rochefort,ZE_7525,Rochefort,45.9366592,-0.9616399,,
id_1118,"
Les Paniers De La Coccinelle","5 Rue René Hatet
72000
Le Mans",5 Rue René Hatet,CP_72000,Le Mans,Le Mans,CI_72181,BV_72181,Le Mans,ZE_5212,Le Mans,"48,0082885","0,2150863",,
id_1119,Les Paniers De La Colombière,"21000
Dijon",,CP_21000,Dijon,Dijon,CI_21231,BV_21231,Dijon,ZE_2711,Dijon,"47,3215806","5,0414701",,
id_1120,"
Les Paniers De La Manse","16 Rue D'Azay-Le-Rideau
37800
Saint-Épain",16 Rue D'Azay-Le-Rideau,CP_37800,Saint-Épain,Saint-Épain,CI_37216,BV_37226,Sainte-Maure-de-Touraine,ZE_2413,Tours,"47,146904","0,535751",,
id_1121,"
Les Paniers De La Patate","Ferme Du Chemin D'Acey Route De Bresilley
70140
Montagney",Ferme Du Chemin D'Acey Route De Bresilley,CP_70140,Montagney,Montagney,CI_70353,BV_70334,Marnay,ZE_2706,Besançon,47.2872,5.65997,,
id_1122,"
Les Paniers De La Sèvre","Maison De Quartier Des Brizeaux, 67 Rue Des Brizeaux
79000
Niort","Maison De Quartier Des Brizeaux, 67 Rue Des Brizeaux",CP_79000,Niort,Niort,CI_79191,BV_79191,Niort,ZE_7520,Niort,46.3381377,-0.4435902,,
id_1123,"
Les Paniers De La Vallée","4 Impasse Les Jardins De La Ferme
21370
Velars Sur Ouche",4 Impasse Les Jardins De La Ferme,CP_21370,Velars Sur Ouche,Velars-sur-Ouche,CI_21661,BV_21231,Dijon,ZE_2711,Dijon,47.3193952,4.9041174,,
id_1124,"
Les Paniers De L'Anoph","1 Rue Gaston Veil 44000 Nantes
44000
Nantes",1 Rue Gaston Veil 44000 Nantes,CP_44000,Nantes,Nantes,CI_44109,BV_44109,Nantes,ZE_5216,Nantes,47.2109407,-1.5559464,,
id_1125,"
Les Paniers De Leopold","27 Rue Sainte Anne
54300
Lunéville",27 Rue Sainte Anne,CP_54300,Lunéville,Lunéville,CI_54329,BV_54329,Lunéville,ZE_4412,Nancy,"48,5896489","6,4881067",,
id_1126,Les Paniers De L'Escattes,"Place De Saint Etienne D'Escattes
30250
Souvignargues",Place De Saint Etienne D'Escattes,CP_30250,Souvignargues,Souvignargues,CI_30324,BV_30321,Sommières,ZE_7618,Nîmes,43.8147762,4.1229313,,
id_1127,"
Les Paniers De Respire","Centre Social Comité De Coordination De La Grand-Mare Rue François Couperin
76000
Rouen",Centre Social Comité De Coordination De La Grand-Mare Rue François Couperin,CP_76000,Rouen,Rouen,CI_76540,BV_76540,Rouen,ZE_2815,Rouen,49.4510613,1.1366155,,
id_1128,"
Les Paniers D'Eric","A Coté De L'Office De Tourisme : Rue Du Bois Vert
17450
Fouras",A Coté De L'Office De Tourisme : Rue Du Bois Vert,CP_17450,Fouras,Fouras,CI_17168,BV_17168,Fouras,ZE_7525,Rochefort,45.9874,-1.0927,,
id_1129,"
Les Paniers D'Erquy","14, Rue Castelnau
22430
Erquy","14, Rue Castelnau",CP_22430,Erquy,Erquy,CI_22054,BV_22054,Erquy,ZE_5307,Lamballe-Armor,"48,6273759","-2,4669684",,
id_1130,"
Les Paniers Des Saveurs","Local Préfabriqué Ave Alexandre De Lavergne
14810
Merville Franceville",Local Préfabriqué Ave Alexandre De Lavergne,CP_14810,Merville Franceville,Merville-Franceville-Plage,CI_14409,BV_14225,Dives-sur-Mer,ZE_2804,Caen,49.2778642,-0.2028235,,
id_1131,"
Les Paniers Du Beuvron","13 Impasse De La Garenne
41600
Lamotte-Beuvron",13 Impasse De La Garenne,CP_41600,Lamotte-Beuvron,Lamotte-Beuvron,CI_41106,BV_41106,Lamotte-Beuvron,ZE_2412,Romorantin-Lanthenay,"47,6053894","2,0218868",,
id_1132,"
Les Paniers Du Graoully","Ecole Primaire Sainte Thérèse Rue Du Xxème Corps Américain
57000
Metz",Ecole Primaire Sainte Thérèse Rue Du Xxème Corps Américain,CP_57000,Metz,Metz,CI_57463,BV_57463,Metz,ZE_4410,Metz,49.1040182,6.1663794,,
id_1133,"
Les Paniers Du Marais","69 Ter Rue Anatole France
17300
Rochefort-Sur-Mer",69 Ter Rue Anatole France,CP_17300,Rochefort-Sur-Mer,Rochefort,CI_17299,BV_17299,Rochefort,ZE_7525,Rochefort,"45,9397665","-0,9752987",,
id_1134,"Les Paniers Du Potager Gourmand
","155 Faubourg De Rochebelle
30100
Alès",155 Faubourg De Rochebelle,CP_30100,Alès,Alès,CI_30007,BV_30007,Alès,ZE_7603,Alès-Le Vigan,"44,1300635","4,068027932",,
id_1135,"
Les Paniers Du Square","10 Rue Joseph Cugnot
79000
Niort",10 Rue Joseph Cugnot,CP_79000,Niort,Niort,CI_79191,BV_79191,Niort,ZE_7520,Niort,"46,3155194","-0,4779435",,
id_1136,"
Les Paniers Du Terroir","Rue de l'Evêché
71100
Chalon-sur-Saône",Rue de l'Evêché,CP_71100,Chalon-sur-Saône,Chalon-sur-Saône,CI_71076,BV_71076,Chalon-sur-Saône,ZE_2707,Chalon-sur-Saône,"46,7827108","4,8588629",,
id_1137,"
Les Paniers En Aure","Rue Saint Quentin
14400
Bayeux",Rue Saint Quentin,CP_14400,Bayeux,Bayeux,CI_14047,BV_14047,Bayeux,ZE_2804,Caen,"49,281091","-0,7022018",,
id_1138,"
Les Paniers Mouillés","La Petite Épicerie
79270
Le Vanneau",La Petite Épicerie,CP_79270,Le Vanneau,Le Vanneau-Irleau,CI_79337,BV_79191,Niort,ZE_7520,Niort,"46,29532465","-0,6360162658",,
id_1139,Les Paniers Nature Du Val De Cher,"7 Ruelle de la Jalterie
41130
Châtillon-sur-Cher",7 Ruelle de la Jalterie,CP_41130,Châtillon-sur-Cher,Châtillon-sur-Cher,CI_41043,BV_41242,Selles-sur-Cher,ZE_2412,Romorantin-Lanthenay,"47,2902596","1,4781379",,
id_1140,"
Les Paniers Solidaires","Rue Charles Roy
58000
Nevers",Rue Charles Roy,CP_58000,Nevers,Nevers,CI_58194,BV_58194,Nevers,ZE_0060,Nevers,"46,9949247","3,1627746",,
id_1141,"
Les Paniers Vino-Liens","Salle Des Fêtes De Vineuil (Rue Des Écoles)
41350
Vineuil",Salle Des Fêtes De Vineuil (Rue Des Écoles),CP_41350,Vineuil,Vineuil,CI_41295,BV_41018,Blois,ZE_2401,Blois,"47,5849295","1,375815696",,
id_1142,"
Les Pannier Bio De Gurgy","11 Rue De L'Ile Chamond
89250
Gurgy",11 Rue De L'Ile Chamond,CP_89250,Gurgy,Gurgy,CI_89198,BV_89024,Auxerre,ZE_2702,Auxerre,"47,856217","3,5616339",,
id_1143,"
Les Radis Démasqués","Salle du foyer
85310
Le Tablier",Salle du foyer,CP_85310,Le Tablier,Le Tablier,CI_85285,BV_85191,La Roche-sur-Yon,ZE_5210,La Roche-sur-Yon,46.5743219,-1.3426169,,
id_1144,"
Les Resses De La Semaine","93 Rue A. Ribot
53000
Laval",93 Rue A. Ribot,CP_53000,Laval,Laval,CI_53130,BV_53130,Laval,ZE_5211,Laval,48.0719048,-0.7876822,,
id_1145,"
Les Saveurs De Kienheim","7 Rue de l'Eglise
67270
Kienheim",7 Rue de l'Eglise,CP_67270,Kienheim,Kienheim,CI_67236,BV_67495,Truchtersheim,ZE_4423,Strasbourg,"48,6881252","7,5794584",,
id_1146,Les Serres Du Pont D'Or,"Chemin Des Romains 01
30300
Jonquieres St Vincent",Chemin Des Romains 01,CP_30300,Jonquieres St Vincent,Jonquières-Saint-Vincent,CI_30135,BV_30032,Beaucaire,ZE_7618,Nîmes,43.8304027,4.5559553,,
id_1147,"
Les Voisins De Panier","37 Rue Charles De Gaulle
49770
La Membrolle Sur Longuenée",37 Rue Charles De Gaulle,CP_49770,La Membrolle Sur Longuenée,Longuenée-en-Anjou,CI_49200,BV_49214,Montreuil-Juigné,ZE_5202,Angers,"47,5610061","-0,6732943",,
id_1148,Libertamap,"Libertamap C/O Librairie L'Autodidacte 5, Rue Marluaz
25000
Besançon","Libertamap C/O Librairie L'Autodidacte 5, Rue Marluaz",CP_25000,Besançon,Besançon,CI_25056,BV_25056,Besançon,ZE_2706,Besançon,47.2380222,6.0243622,,
id_1149,Libertaterre,"1 Rue Des Frères Goncourt
29000
Brest",1 Rue Des Frères Goncourt,CP_29000,Brest,Brest,CI_29019,BV_29019,Brest,ZE_5302,Brest,"48,3861502","-4,52383576",,
id_1150,"
Lion-Environnement","Boulevard Carnot
14780
Lion-sur-Mer",Boulevard Carnot,CP_14780,Lion-sur-Mer,Lion-sur-Mer,CI_14365,BV_14228,Douvres-la-Délivrande,ZE_2804,Caen,"49,3001973","-0,3159484",,
id_1151,"
Macopa Amap De Boismé","Ancienne École De Boismé
79300
Boisme",Ancienne École De Boismé,CP_79300,Boisme,Boisme,CI_79038,BV_79049,Bressuire,ZE_7506,Bressuire,46.7738923,-0.4349223,,
id_1152,"
Maintenon L'Amap","19 Rue Georges Lejars
28130
Maintenon",19 Rue Georges Lejars,CP_28130,Maintenon,Maintenon,CI_28227,BV_28227,Maintenon,ZE_2403,Chartres,"48,5880351","1,5897682",,
id_1153,Mamap,"Avenue De La Madeleine
41800
Montoire",Avenue De La Madeleine,CP_41800,Montoire,Montoire-sur-le-Loire,CI_41149,BV_41149,Montoire-sur-le-Loir,ZE_2414,Vendôme,"47,7561996","0,8455349",,
id_1154,Mon Biau Panier,"70400
Tremoins",,CP_70400,Tremoins,Trémoins,CI_70506,BV_70285,Héricourt,ZE_2705,Belfort,"47,5617658","6,704354",,
id_1155,Natur'Amap,"Salle De La Piscine Rue Du Foirail
15230
Pierrefort",Salle De La Piscine Rue Du Foirail,CP_15230,Pierrefort,Pierrefort,CI_15152,BV_15187,Saint-Flour,ZE_8429,Saint Flour,44.9205851,2.837324,,
id_1156,"
Nature Amap Porte","Jardinerie Du Lycée Du Fresne
49130
Sainte Gemmes Sur Loire",Jardinerie Du Lycée Du Fresne,CP_49130,Sainte Gemmes Sur Loire,Sainte-Gemmes-sur-Loire,CI_49278,BV_49007,Angers,ZE_5202,Angers,47.4410041,-0.5872608,,
id_1157,"
Notre Amap D'Oé","Salle Blancat (Salle Attenante Au Gymnase)
37390
Notre Dame D’Oe",Salle Blancat (Salle Attenante Au Gymnase),CP_37390,Notre Dame D’Oe,Notre-Dame-d’Oé,CI_37172,BV_37261,Tours,ZE_2413,Tours,47.4571183,0.7076929,,
id_1158,"
Pacé Ã L'Amap","Maison Des Associations - Espace Le Goffic
35740
Pacé",Maison Des Associations - Espace Le Goffic,CP_35740,Pacé,Pacé,CI_35210,BV_35238,Rennes,ZE_5315,Rennes,48.1489458,-1.7745693,,
id_1159,"
Pacham'Amap 25","25000
Besançon",,CP_25000,Besançon,Besançon,CI_25056,BV_25056,Besançon,ZE_2706,Besançon,"47,2380222","6,0243622",,
id_1160,Panier Paysans Lauzach-Berric,"Salle Polyvalente
56190
Lauzach",Salle Polyvalente,CP_56190,Lauzach,Lauzach,CI_56109,BV_56143,Muzillac,ZE_5318,Vannes,47.614847,-2.5429139,,
id_1161,Panier Potager Du Pays De Vannes,"47 Rue de l'Hopital
56890
Saint-Avé",47 Rue de l'Hopital,CP_56890,Saint-Avé,Saint-Avé,CI_56206,BV_56260,Vannes,ZE_5318,Vannes,"47,6991355","-2,7602017",,
id_1162,Paniers De L'Anoph',"A Rue Gaston Veil 44000 Nantes
44000
Nantes",A Rue Gaston Veil 44000 Nantes,CP_44000,Nantes,Nantes,CI_44109,BV_44109,Nantes,ZE_5216,Nantes,47.2114587,-1.5565295,,
id_1163,"
Paniers D'Ici","Rue Du Kobenberg
57600
Forbach",Rue Du Kobenberg,CP_57600,Forbach,Forbach,CI_57227,BV_57227,Forbach,ZE_4408,Forbach,"49,1853717","6,8702185",,
id_1164,Pâquerette Et Macadam,"81 Rue Nationale
72000
Le Mans",81 Rue Nationale,CP_72000,Le Mans,Le Mans,CI_72181,BV_72181,Le Mans,ZE_5212,Le Mans,"47,9989425","0,2000692",,
id_1165,"
Pays D'Auge","14100
Beuvillers",,CP_14100,Beuvillers,Beuvillers,CI_14069,BV_14366,Lisieux,ZE_2814,Lisieux,"49,1326078","0,2566898",,
id_1166,Perm'Amap66,"Jardin D’André Chemin Sainte-Eugénie
66200
Elne",Jardin D’André Chemin Sainte-Eugénie,CP_66200,Elne,Elne,CI_66065,BV_66171,Saint-Cyprien,ZE_7620,Perpignan,42.6015016,2.9705605,,
id_1167,"
Ploub'Amap","9 Rue Du Clos Neuf
22650
Ploubalay",9 Rue Du Clos Neuf,CP_22650,Ploubalay,Beaussais-sur-Mer,CI_22209,BV_35093,Dinard,ZE_5304,Dinan,"48,5768798","-2,1377129",,
id_1168,Pondi Amap,"Maison Des Associations, 6, Quai Du Plessis
56300
Pontivy","Maison Des Associations, 6, Quai Du Plessis",CP_56300,Pontivy,Pontivy,CI_56178,BV_56178,Pontivy,ZE_5312,Pontivy-Loudéac,48.0647729,-2.9675702,,
id_1169,Potamap,"La Maison Neuve, La Galonnière
35210
Chatillon-En-Vendelais","La Maison Neuve, La Galonnière",CP_35210,Chatillon-En-Vendelais,Chatillon-en-Vendelais,CI_35072,BV_35360,Vitré,ZE_5319,Vitré,48.225424,-1.1793931,,
id_1170,"
Prends-En De La Graine","Maison Pour Tous (Mpt) - Centre Social, Salle Du Sous-Sol
29800
Landerneau","Maison Pour Tous (Mpt) - Centre Social, Salle Du Sous-Sol",CP_29800,Landerneau,Landerneau,CI_29103,BV_29103,Landerneau,ZE_5302,Brest,48.4537322,-4.2552092,,
id_1171,"
Prends-En De La Graine","36 Rue Principale
57580
Vatimont",36 Rue Principale,CP_57580,Vatimont,Vatimont,CI_57698,BV_57572,Rémilly,ZE_4410,Metz,"48,980688","6,468659",,
id_1172,"
Pres D'Ici","34 Rue Rabelais
85200
Fontenay-le-Comte",34 Rue Rabelais,CP_85200,Fontenay-le-Comte,Fontenay-le-Comte,CI_85092,BV_85092,Fontenay-le-Comte,ZE_5207,Fontenay-le-Comte,"46,4679539","-0,8142604",,
id_1173,Rhenamap,"Mulhouse Site Dmc, 57 Rue De Pfastatt
68640
Muespach","Mulhouse Site Dmc, 57 Rue De Pfastatt",CP_68640,Muespach,Muespach,CI_68221,BV_68138,Hirsingue,ZE_4418,Saint-Louis,47.549066,7.3741346,,
id_1174,Robins Des Bios - Amap Loire Velay,"Château Des Evêques 4 Bis Allée Du Château
43120
Monistrol Sur Loire",Château Des Evêques 4 Bis Allée Du Château,CP_43120,Monistrol Sur Loire,Monistrol-sur-Loire,CI_43137,BV_43137,Monistrol-sur-Loire,ZE_8420,Les Sources de la Loire,45.293992,4.1702362,,
id_1175,Sainbioz,"1569 Avenue de la Division Leclerc
88300
Neufchâteau",1569 Avenue de la Division Leclerc,CP_88300,Neufchâteau,Neufchâteau,CI_88321,BV_88321,Neufchâteau,ZE_4404,Chaumont,"48,37319","5,7078684",,
id_1176,"
Salade De Cressot - Amap De Montigny-Lès-Metz","École Élémentaire Joseph Cressot
57950
Montigny-Lès-Metz",École Élémentaire Joseph Cressot,CP_57950,Montigny-Lès-Metz,Montigny-lès-Metz,CI_57480,BV_57463,Metz,ZE_4410,Metz,"49,1018923","6,147471115",,
id_1177,"
Saveurs Du Râble","La Giraudais
53410
Launay Villiers",La Giraudais,CP_53410,Launay Villiers,Launay-Villiers,CI_53129,BV_35360,Vitré,ZE_5211,Laval,"48,1305378","-1,0088771",,
id_1178,"
Saveurs Et Savoirs","704 Avenue de la Gare
27610
Romilly-sur-Andelle",704 Avenue de la Gare,CP_27610,Romilly-sur-Andelle,Romilly-sur-Andelle,CI_27493,BV_27469,Pont-de-l'Arche,ZE_2815,Rouen,"49,3231911","1,252951",,
id_1179,"
Serre Du Pont D'Or","Chemin de Pauvre Menage
30300
Jonquières-Saint-Vincent",Chemin de Pauvre Menage,CP_30300,Jonquières-Saint-Vincent,Jonquières-Saint-Vincent,CI_30135,BV_30032,Beaucaire,ZE_7618,Nîmes,"43,8171134","4,5637356",,
id_1180,"
Siam Amap'Orte","26 Rue Choquet de Lindu
29200
Brest",26 Rue Choquet de Lindu,CP_29200,Brest,Brest,CI_29019,BV_29019,Brest,ZE_5302,Brest,"48,3909852","-4,4734562",,
id_1181,"
St Pierre Du Jonquet","Hameau Rupierre
14670
St Pierre Du Jonquet",Hameau Rupierre,CP_14670,St Pierre Du Jonquet,Saint-Pierre-du-Jonquet,CI_14651,BV_14712,Troarn,ZE_2804,Caen,49.1697941,-0.1249695,,
id_1182,Stan'Amap,"6 Rue Stanislas
54000
Nancy",6 Rue Stanislas,CP_54000,Nancy,Nancy,CI_54395,BV_54395,Nancy,ZE_4412,Nancy,"48,693213","6,1819848",,
id_1183,"
Stan'Amap Amap De Stanislas","6 Rue Stanislas
54000
Nancy",6 Rue Stanislas,CP_54000,Nancy,Nancy,CI_54395,BV_54395,Nancy,ZE_4412,Nancy,"48,693213","6,1819848",,double
id_1184,Teikei Homme De Terre,"La ferme lo Trescalan rue du Couvent
34725
Saint-André-de-Sangonis",La ferme lo Trescalan rue du Couvent,CP_34725,Saint-André-de-Sangonis,Saint-André-de-Sangonis,CI_34239,BV_34239,Saint-André-de-Sangonis,ZE_7616,Montpellier,43.6486297,3.5051808,,
id_1185,"
Terres De Loire","1 Rue de la Pierre Blanche
45190
Beaugency",1 Rue de la Pierre Blanche,CP_45190,Beaugency,Beaugency,CI_45028,BV_45028,Beaugency,ZE_2410,Orléans,"47,780851","1,615104",,
id_1186,Thuramap,"24 Rue Des Fauvettes, Cité Langenzug
68310
Wittelsheim","24 Rue Des Fauvettes, Cité Langenzug",CP_68310,Wittelsheim,Wittelsheim,CI_68375,BV_68224,Mulhouse,ZE_4411,Mulhouse,47.8015562,7.2310121,,
id_1187,Tifañchmflo,"La Ville Neuve D'En Haut
22150
Henon",La Ville Neuve D'En Haut,CP_22150,Henon,Hénon,CI_22079,BV_22278,Saint-Brieuc,ZE_5316,Saint-Brieuc,48.3851457,-2.6836514,,
id_1188,"
Vertou Amap (Vertou Ecologie Solidarité)","11 Impasse des Perdriaux
44120
Vertou",11 Impasse des Perdriaux,CP_44120,Vertou,Vertou,CI_44215,BV_44109,Nantes,ZE_5216,Nantes,"47,1641547","-1,488393",,
id_1189,Amap Boismé,"79300
Bressuire",,CP_79300,Bressuire,Bressuire,CI_79049,BV_79049,Bressuire,ZE_7506,Bressuire,"46,8425572","-0,4929017",,
id_1190,"
Amap De Ballon","1 Rue des Rampots
17290
Ballon",1 Rue des Rampots,CP_17290,Ballon,Ballon,CI_17032,BV_17003,Aigrefeuille-d'Aunis,ZE_7512,La Rochelle,"46,054905","-0,9542874",,
id_1191,"
Amap Douce Racine","28, Rue De LAunis
17290
Aigrefeuille","28, Rue De LAunis",CP_17290,Aigrefeuille,Aigrefeuille-d'Aunis,CI_17003,BV_17003,Aigrefeuille-d'Aunis,ZE_7512,La Rochelle,46.1163928,-0.9342868,,
id_1192,"
Amap Du Mont De Marsan","Salle G. Brassens, 285 Rue Pierre Benoit
40000
Mont-de-Marsan","Salle G. Brassens, 285 Rue Pierre Benoit",CP_40000,Mont-de-Marsan,Mont-de-Marsan,CI_40192,BV_40192,Mont-de-Marsan,ZE_7519,Mont-de-Marsan,43.8990097,-0.5118708,,
id_1193,"
Amap Du Vexin","23 Rue De La République
60240
Chaumont-En-Vexin",23 Rue De La République,CP_60240,Chaumont-En-Vexin,Chaumont-en-Vexin,CI_60143,BV_60143,Chaumont-en-Vexin,ZE_0054,Beauvais,"49,2653761","1,8845557",,
id_1194,"
Point Collecte Amap Château Rouge Annemasse","74100
Annemasse",,CP_74100,Annemasse,Annemasse,CI_74012,BV_74012,Annemasse,ZE_8416,Le Genevois Français,"46,1934005","6,2341093",,
id_1195,Amap Sceaux Et Brouettes,"68 Rue Houdan
92330
Sceaux",68 Rue Houdan,CP_92330,Sceaux,Sceaux,CI_92071,BV_75056,Paris,ZE_1109,Paris,"48,777256","2,2955743",,
id_1196,"
Amap À Marcq","Rue des Tisserands
59700
Marcq-en-Barœul",Rue des Tisserands,CP_59700,Marcq-en-Barœul,Marcq-en-Barœul,CI_59378,BV_59350,Lille,ZE_3216,Lille,"50,6597058","3,0795781",,
id_1197,Amap Belles Fontaines De La Vallee,"22 Avenue du Marechal Villars
77300
Fontainebleau",22 Avenue du Marechal Villars,CP_77300,Fontainebleau,Fontainebleau,CI_77186,BV_77186,Fontainebleau,ZE_1105,Fontainebleau-Nemours,"48,398062","2,7058036",,
id_1198,"
Amap Bio Devant","48 Rue du Capitaine Guynemer
92400
Courbevoie",48 Rue du Capitaine Guynemer,CP_92400,Courbevoie,Courbevoie,CI_92026,BV_75056,Paris,ZE_1109,Paris,"48,8961521","2,2444647",,
